"","Name","Age","OVA","POT","Team...Contract","Value","Wage","Total","Player","Year_of_Release","Category_Ranking","Release_Nb","Bid_Asked_Price","Price_USD"
"1","Hernández",24,85,90,"AC Milan
2019 ~ 2026","€76M","€82K",2195,"Areli Hernández","2021-22","Limited","218/1000",0.004,6.5
"2","Hernández",24,85,90,"AC Milan
2019 ~ 2026","€76M","€82K",2195,"Ronald Hernández","2021-22","Rare","17/100",0.095,154.375
"3","Hernández",24,85,90,"AC Milan
2019 ~ 2026","€76M","€82K",2195,"Areli Hernández","2021-22","Limited","218/1000",0.0037,6.0125
"4","Bale",32,81,81,"Los Angeles FC
2022 ~ 2023","€20.5M","€14K",2157,"Gareth Bale","2021-22","Limited","88/1000",0.24,390
"5","Bale",32,81,81,"Los Angeles FC
2022 ~ 2023","€20.5M","€14K",2157,"Gareth Bale","2021-22","Limited","201/1000",0.45,731.25
"6","Bale",32,81,81,"Los Angeles FC
2022 ~ 2023","€20.5M","€14K",2157,"Gareth Bale","2021-22","Limited","266/1000",0.49,796.25
"7","Giroud",35,82,82,"AC Milan
2021 ~ 2023","€13M","€66K",1928,"Olivier Giroud","2021-22","Limited","367/1000",0.39,633.75
"8","Hazard",31,84,84,"Real Madrid CF
2019 ~ 2024","€35M","€220K",2045,"Eden Hazard","2021-22","Limited","104/1000",0.39,633.75
"9","Hazard",31,84,84,"Real Madrid CF
2019 ~ 2024","€35M","€220K",2045,"Eden Hazard","2021-22","Limited","286/1000",0.12,195
"10","Hazard",29,79,79,"Borussia Dortmund
2019 ~ 2024","€17M","€51K",2048,"Eden Hazard","2021-22","Limited","104/1000",0.39,633.75
"11","Hazard",29,79,79,"Borussia Dortmund
2019 ~ 2024","€17M","€51K",2048,"Eden Hazard","2021-22","Limited","286/1000",0.12,195
"12","Turner",28,77,80,"Arsenal
2022 ~ 2024","€9.5M","€56K",1184,"Cole Turner","2021-22","Rare","3/100",0.159,258.375
"13","Gravenberch",20,79,88,"FC Bayern München
2022 ~ 2027","€38.5M","€45K",2101,"Danzell Gravenberch","2020-21","Super","Rare",1,1625
"14","Özil",33,77,77,"İstanbul Başakşehir FK
2022 ~ 2023","€6.5M","€37K",1761,"Mesut Özil","2021-22","Limited","264/1000",0.02,32.5
"15","Özil",33,77,77,"İstanbul Başakşehir FK
2022 ~ 2023","€6.5M","€37K",1761,"Mesut Özil","2020-21","Super","Rare",0.099,160.875
"16","Özil",33,77,77,"İstanbul Başakşehir FK
2022 ~ 2023","€6.5M","€37K",1761,"Mesut Özil","2021-22","Limited","264/1000",0.016,26
"17","Özil",33,77,77,"İstanbul Başakşehir FK
2022 ~ 2023","€6.5M","€37K",1761,"Mesut Özil","2020-21","Super Rare","49/100",0.1205,195.8125
"18","Hernández",26,84,86,"FC Bayern München
2019 ~ 2024","€46M","€82K",2016,"Areli Hernández","2021-22","Limited","218/1000",0.004,6.5
"19","Hernández",26,84,86,"FC Bayern München
2019 ~ 2024","€46M","€82K",2016,"Ronald Hernández","2021-22","Rare","17/100",0.095,154.375
"20","Hernández",26,84,86,"FC Bayern München
2019 ~ 2024","€46M","€82K",2016,"Areli Hernández","2021-22","Limited","218/1000",0.0037,6.0125
"21","Hernández",26,84,86,"FC Bayern München
2019 ~ 2024","€46M","€82K",2016,"Areli Hernández","2021-22","Limited","218/1000",0.004,6.5
"22","Hernández",26,84,86,"FC Bayern München
2019 ~ 2024","€46M","€82K",2016,"Ronald Hernández","2021-22","Rare","17/100",0.095,154.375
"23","Hernández",26,84,86,"FC Bayern München
2019 ~ 2024","€46M","€82K",2016,"Areli Hernández","2021-22","Limited","218/1000",0.0037,6.0125
"24","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","158/1000",0.035,56.875
"25","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","413/1000",0.048,78
"26","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","403/1000",0.048,78
"27","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","366/1000",0.049,79.625
"28","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","117/1000",0.05,81.25
"29","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","286/1000",0.1,162.5
"30","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","171/1000",0.1,162.5
"31","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","226/1000",0.1,162.5
"32","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","408/1000",0.1,162.5
"33","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","383/1000",0.1,162.5
"34","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","390/1000",0.1,162.5
"35","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","227/1000",0.1,162.5
"36","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","442/1000",0.95,1543.75
"37","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","254/1000",2,3250
"38","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","412/1000",10,16250
"39","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Super","Rare",11,17875
"40","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","266/1000",100,162500
"41","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","364/1000",0.048,78
"42","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","117/1000",0.05,81.25
"43","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","286/1000",0.1,162.5
"44","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","254/1000",2,3250
"45","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","412/1000",10,16250
"46","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Limited","266/1000",100,162500
"47","Ibrahimović",40,82,82,"AC Milan
2020 ~ 2023","€0","€63K",1967,"Zlatan Ibrahimović","2021-22","Super Rare","49/100",11,17875
"48","González",24,80,85,"Fiorentina
2021 ~ 2026","€32M","€58K",1971,"Giancarlo González","2021-22","Rare","15/100",0.055,89.375
"49","Modrić",36,88,88,"Real Madrid CF
2012 ~ 2023","€29M","€230K",2257,"Luka Modrić","2021-22","Limited","460/1000",0.15,243.75
"50","Modrić",36,88,88,"Real Madrid CF
2012 ~ 2023","€29M","€230K",2257,"Luka Modrić","2021-22","Limited","310/1000",0.35,568.75
"51","Modrić",36,88,88,"Real Madrid CF
2012 ~ 2023","€29M","€230K",2257,"Luka Modrić","2021-22","Limited","362/1000",9,14625
"52","Modrić",36,88,88,"Real Madrid CF
2012 ~ 2023","€29M","€230K",2257,"Luka Modrić","2021-22","Limited","460/1000",0.15,243.75
"53","Modrić",36,88,88,"Real Madrid CF
2012 ~ 2023","€29M","€230K",2257,"Luka Modrić","2021-22","Limited","362/1000",9,14625
"54","Jones",19,63,78,"Peterborough United
2019 ~ 2025","€1.1M","€2K",1617,"Alvin Jones","2020-21","Rare","6/100",0.07,113.75
"55","Bischof",17,62,83,"TSG Hoffenheim
2021 ~ 2025","€1.2M","€750",1603,"Tom Bischof","2021-22","Limited","179/1000",0.09,146.25
"56","Griezmann",31,83,83,"Atlético de Madrid
2022 ~ 2026","€30.5M","€80K",2240,"Antoine Griezmann","2021-22","Limited","216/1000",0.28,455
"57","Donnarumma",23,88,92,"Paris Saint-Germain
2021 ~ 2026","€103.5M","€110K",1375,"Antonio Donnarumma","2020-21","Rare","20/100",0.55,893.75
"58","Sarr",24,77,83,"Watford
2019 ~ 2024","€16.5M","€39K",1832,"Bouna Sarr","2021-22","Limited","364/1000",0.72,1170
"59","Díaz",25,84,87,"Liverpool
2022 ~ 2027","€56M","€155K",2049,"Marcelo Díaz","2020-21","Rare","35/100",0.35,568.75
"60","Díaz",25,84,87,"Liverpool
2022 ~ 2027","€56M","€155K",2049,"Marcelo Díaz","2020-21","Rare","33/100",0.35,568.75
"61","Sánchez",33,79,79,"Olympique de Marseille
2022 ~ 2023","€11M","€48K",2052,"Luciano Sánchez","2022-23","Limited","13/1000",0.05,81.25
"62","Sánchez",33,79,79,"Olympique de Marseille
2022 ~ 2023","€11M","€48K",2052,"Luciano Sánchez","2022-23","Limited","13/1000",0.05,81.25
